date;Anemone larvae;Total medusae;Total Siphonophore;Polychaete larvae unidentified;Tomopteris helgolandica;Bryozoa cyphonautes larvae;Gastropod larvae;Limacina retroversa;Bivalvia;Clione;Cephalopoda larvae;Total Echinodermata;Tornaria larvae (Hemichordata) ;Branchiostoma (Cephalochordata) ;Ascidian tadpole;Doliolida;Appendicularia;Total Fish Eggs;Fish larvae ;Cirripede nauplii;Cirripede cyprid;Evadne spp.;Podon spp.;Isopoda;Gammariida;Hyperiida;Cumacea;Mysida;Euphausiid nauplii;Euphausiid calyptopis;Euphausiid furcilia;Euphausiid adult;Total Decapoda;Metridia lucens;Total Acartia clausi;Candacia armata;Centropages chierchiae;Centropages hamatus;Total Centropages typicus ;Isias clavipes;Anomalocera patersoni;Parapontella brevicornis;Labidocera wollastoni;Total Temora longicornis;Temora stylifera;Calanoides carinatus;Total Calanus helgolandicus;Calocalanus spp.;Total Clausocalanus spp. (Calculated);Total Ctenocalanus vanus (Calculated);Total Paracalanus parvus (Calculated);Total Pseudocalanus elongatus (Calculated);Subeucalanus spp.;Microcalanus spp.;Diaixis hibernica;Paraeuchaeta hebes;Scolecithricella spp.;Oithona spp.;Oncaea spp.;Ditrichocorycaeus anglicus;Microsetella sp;Euterpina acutifrons;Goniopsyllus clausi;Harpacticoid unidentified;Siphonostomatoida;Copepod nauplii
1988-03-14;0;2.72;0;1.36;0;39.49;5.44;20.42;2.72;0;0;2.72;0;0;0;0;47.66;4.08;6.81;634.55;0;0;2.72;0;1.36;0;0;0;0;1.36;4.08;0;29.95;5.45;38.13;0;0;0;16.34;0;0;0;0;44.94;0;0;17.7;0;0;0;75.06;966.64;0;0;0;0;0;268.25;44.94;14.98;0;6.81;0;0;0;6.81
1988-03-21;21.78;9.53;0;28.6;0;5.45;8.17;21.79;4.08;0;0;2.72;0;0;0;0;86.81;9.53;16.34;0;1798.55;0;5.45;0;0;0;0;0;0;6.81;12.25;0;42.21;27.23;29.96;2.72;0;0;17.7;1.36;0;0;0;42.21;0;0;53.1;0;0;2.72;95.15;1146.4;0;0;1.36;0;0;665.87;144.34;50.38;0;9.53;0;0;0;9.53
1988-03-28;0;4.26;0;0;0;25.53;4.26;34.04;4.26;0;0;0;0;0;0;0;37.1;0;4.26;327.66;80.86;0;8.51;0;0;0;0;0;0;0;0;0;21.28;12.77;12.77;0;0;0;17.02;0;0;0;0;4.26;0;0;18.52;0;16.17;66.38;136.17;462.13;0;0;0;0;0;276.6;85.11;21.28;0;4.26;0;0;0;17.02
1988-04-08;0;0;0;4.26;0;21.28;0;17.02;12.77;0;0;0;0;0;0;0;757.78;12.77;0;148.94;25.53;12.77;8.51;0;0;0;0;0;0;0;0;0;29.79;0;21.28;0;0;0;0;0;0;0;0;76.6;0;0;21.28;0;32.34;97.02;144.47;904.9;0;0;0;0;0;72.35;63.83;4.26;0;0;0;0;0;42.56
1988-04-11;0;0;0;8.51;0;34.04;17.02;12.77;25.53;0;0;0;0;0;0;0;799.99;29.79;0;404.26;182.98;191.49;25.53;0;0;0;0;0;0;0;0;0;12.77;8.51;540.43;0;0;0;46.81;0;0;0;0;187.24;0;0;63.83;0;0;48.09;28.51;1455.32;0;0;0;0;0;268.09;46.81;8.51;0;0;0;0;0;63.83
1988-04-18;0;17.02;0;76.6;0;229.79;0;0;8.51;0;0;25.53;0;0;0;0;66.72;0;0;136.17;136.17;7387.24;246.81;0;0;0;0;0;0;0;0;0;8.51;0;3608.51;0;0;0;76.6;0;0;0;0;459.58;0;0;76.6;0;0;0;90.22;1756.6;0;0;0;0;0;842.55;17.02;34.05;0;8.51;0;0;0;144.68
1988-04-25;0;0;0;102.13;0;34.05;0;0;0;0;0;0;0;0;0;0;268.93;0;0;170.22;391.49;510.78;238.3;0;0;0;0;0;0;0;0;0;68.09;0;680.85;0;0;0;0;0;0;0;0;714.9;0;0;442.56;0;0;46.81;105.54;1958.3;0;0;0;0;0;1021.28;34.05;17.02;0;0;0;0;0;204.26
1988-05-04;0;0;0;51.07;0;68.09;0;0;204.26;0;0;0;17.02;0;0;0;405.78;17.02;17.02;34.05;680.86;2280.85;714.9;0;0;0;0;0;0;0;0;0;17.02;17.02;1923.41;0;0;0;187.24;0;0;0;0;2212.77;0;0;425.54;0;0;188.94;949.79;2674.05;0;0;0;0;0;1600;34.04;51.07;0;17.02;0;0;0;17.02
1988-05-09;0;0;0;68.09;0;68.09;0;0;17.02;0;0;0;0;0;0;0;408.51;0;17.02;52.57;289.36;1702.13;1565.96;0;0;0;0;0;0;0;0;0;136.17;17.02;817.02;17.02;0;0;136.17;0;0;0;0;1804.26;0;0;170.22;0;0;130.22;294.47;1498.73;0;0;0;0;0;2502.13;255.32;51.07;0;0;0;0;0;34.04
1988-05-16;0;34.04;42.56;110.64;0;76.6;0;8.51;17.02;0;0;42.55;0;0;0;0;548.76;8.51;34.05;102.13;25.53;1310.64;697.87;0;0;0;0;0;0;0;0;0;34.04;0;425.53;0;0;17.02;8.51;0;0;0;0;1319.15;0;0;153.19;0;0;74.9;285.96;796.6;0;0;0;0;0;1217.02;127.66;8.51;0;17.02;0;0;0;93.62
1988-05-23;0;8.51;0;8.51;0;17.02;0;0;17.02;0;0;25.53;0;0;0;0;367.65;17.02;17.02;42.56;34.05;1702.13;859.58;0;0;0;0;0;0;0;0;0;25.53;0;817.02;0;0;0;42.55;0;0;0;0;144.68;0;0;110.64;0;0;11.92;277.45;161.71;0;0;0;0;0;621.28;25.53;0;0;17.02;0;0;0;51.07
1988-06-01;0;70.92;0;8.87;0;26.6;17.73;8.87;8.87;0;0;0;0;0;0;0;424.1;79.79;0;8.87;17.73;292.56;496.46;0;0;0;0;0;0;0;0;0;17.73;0;461;0;0;0;44.33;0;0;0;0;514.18;0;0;150.71;0;0;122.34;289.45;882.54;0;0;0;0;0;443.26;8.87;0;0;17.73;0;0;0;97.52
1988-06-06;0;86.68;15.76;0;0;7.88;7.88;39.4;15.76;0;0;7.88;0;0;0;0;572.42;39.4;0;0;7.88;260.05;457.05;0;0;0;0;0;0;0;0;0;15.76;0;520.1;0;0;0;47.28;0;0;0;0;724.98;0;0;165.48;0;0;57.53;236.8;1667.85;0;0;0;0;0;638.3;78.8;0;0;31.52;0;0;0;110.32
1988-06-13;0;263.83;51.07;0;0;0;17.02;42.55;0;0;0;25.53;0;0;0;0;400.34;34.05;8.51;0;8.51;655.32;153.2;0;0;0;0;0;0;0;0;0;25.53;8.51;655.32;0;0;0;102.13;0;0;0;0;961.71;0;0;357.45;0;0;94.47;173.62;3357.45;0;0;0;0;0;587.24;17.02;0;0;8.51;0;0;0;42.56
1988-06-20;0;147.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.48;0;32.74;0;0;671.03;163.67;0;0;0;0;0;0;0;0;0;49.1;0;1669.39;0;0;0;343.7;0;0;0;0;687.4;0;0;458.27;0;0;0;1117.84;3824.88;0;0;0;0;0;752.87;0;0;0;16.37;0;0;0;65.47
1988-06-27;0;8.19;0;0;0;0;8.19;73.65;0;0;0;16.37;0;0;0;0;69.06;1652.87;0;0;0;1489.37;237.32;0;0;0;0;0;0;0;0;0;8.19;0;1931.26;0;0;8.19;81.84;8.19;0;0;0;744.68;0;0;73.65;0;0;0;465.63;3969.72;0;0;0;0;0;630.12;0;0;0;98.2;0;0;0;122.75
1988-07-04;0;0;153.19;17.02;0;0;0;68.09;0;0;0;17.02;0;0;0;0;350.64;17.02;17.02;0;0;885.11;885.11;0;0;0;0;0;0;0;0;0;34.04;0;1634.04;0;0;0;17.02;0;0;0;0;1344.68;0;0;170.22;0;0;0;148.09;4856.17;0;0;0;0;0;1225.53;51.07;0;0;51.07;0;0;0;34.05
1988-07-11;0;0;127.66;8.51;0;0;8.51;25.53;0;0;0;25.53;0;0;0;0;185.54;8.51;0;0;0;76.6;127.66;0;0;0;0;0;0;0;0;0;17.02;0;834.05;0;0;0;0;0;0;0;0;570.22;0;0;59.58;0;0;0;260;1178.3;0;0;0;0;0;748.94;51.07;0;0;46.07;0;0;0;68.09
1988-07-18;0;8.19;245.5;16.37;0;0;8.19;24.55;8.19;0;0;0;0;0;0;0;73.65;16.37;0;49.1;8.19;261.87;147.3;0;0;0;0;0;0;0;0;0;24.55;0;434.62;0;0;0;0;0;0;0;0;458.27;0;0;57.28;0;0;0;53.6;1722.18;0;0;0;0;0;695.58;65.47;0;0;16.37;0;0;0;73.65
1988-07-26;0;17.02;374.47;17.02;0;34.04;8.51;85.11;0;0;0;382.98;0;0;0;0;153.2;0;0;17.02;0;485.11;68.09;0;8.51;0;0;0;0;0;0;0;0;0;246.81;0;0;0;0;0;0;0;0;1046.81;0;0;42.55;0;0;0;202.98;1354.47;0;0;0;0;0;238.3;68.09;0;0;17.02;0;0;0;85.06
1988-08-02;0;785.6;548.28;98.2;0;65.47;90.02;81.84;81.84;8.19;0;450.09;0;0;0;0;482.82;0;0;106.39;8.19;212.77;57.29;0;0;0;0;0;0;0;0;0;0;0;441.9;0;0;0;16.37;0;0;0;0;671.03;0;0;114.57;0;0;0;159.17;1485.68;0;0;0;0;0;188.22;73.65;0;0;49.1;0;0;0;139.12
1988-08-08;0;53.19;77.74;20.46;0;12.28;20.46;16.37;49.1;0;0;151.4;0;0;0;0;278.24;0;0;8.19;0;0;0;0;0;0;0;0;0;0;0;0;24.55;0;265.96;0;0;0;0;0;0;0;0;707.86;0;0;139.12;0;0;36.83;76.93;639.12;0;0;0;0;0;155.49;40.92;0;0;12.28;0;0;0;49.1
1988-08-19;0;24.09;104.38;0;0;8.03;0;32.12;56.2;0;0;96.35;0;0;0;0;200.72;0;0;8.03;0;473.71;232.84;0;16.06;0;0;0;0;0;0;0;24.09;0;698.52;8.03;0;0;24.09;0;0;0;0;1260.54;0;0;56.21;0;0;25.69;684.87;598.16;8.03;0;0;0;0;409.48;248.9;24.09;16.06;48.18;0;0;0;16.06
1988-08-22;0;39.4;141.84;23.64;7.88;0;15.76;47.28;141.84;0;0;63.04;0;0;0;0;126.08;0;0;39.4;31.52;39.4;133.96;0;0;0;0;0;0;0;0;0;23.64;0;260.05;0;0;0;7.88;0;0;0;0;795.9;0;0;55.16;0;0;63.83;156.03;820.34;0;0;0;0;7.88;260.05;307.33;31.52;15.76;39.4;0;0;0;0
1988-08-30;0;39.4;110.32;7.88;0;7.88;31.52;55.16;110.33;0;0;252.17;0;0;0;0;118.2;0;0;157.61;0;212.77;189.13;0;7.88;0;0;0;0;0;0;0;31.52;0;149.72;0;0;0;0;0;0;0;0;386.13;0;0;0;0;0;100.08;210.41;966.12;15.76;0;0;0;0;260.05;197.01;15.76;0;47.28;0;0;0;63.04
1988-09-05;0;106.38;155.49;8.19;0;8.19;24.55;40.92;302.78;0;0;728.32;0;0;0;0;286.42;0;0;769.23;8.19;883.8;90.02;0;0;0;0;0;0;0;0;0;73.65;0;8.19;0;0;0;0;0;0;0;0;155.49;0;0;16.37;0;228.72;162.85;267.19;658.76;0;0;0;0;0;261.87;368.25;24.55;0;40.92;0;0;0;57.28
1988-09-13;0;40.92;130.94;40.92;0;65.47;16.37;24.55;204.58;8.19;0;8.19;0;0;0;0;286.42;0;8.19;376.44;8.19;613.75;163.67;0;0;0;0;0;0;0;0;0;57.28;0;384.62;0;0;0;90.02;0;0;0;0;1170.22;0;0;196.4;0;393.62;381.35;576.11;1218.5;40.92;0;0;0;0;310.97;417.35;73.65;8.19;139.12;0;0;0;229.14
1988-09-20;0;25.53;255.32;51.07;0;8.51;17.02;51.07;238.3;0;0;578.73;0;0;0;0;289.36;0;0;8.51;0;85.11;289.36;0;17.02;0;0;0;0;0;0;0;8.51;0;748.94;0;0;0;76.6;0;0;0;0;1685.11;0;0;93.62;0;155.75;467.23;1789.79;702.13;0;0;0;0;0;314.9;434.05;153.19;0;85.11;0;0;0;161.7
1988-09-29;0;51.07;187.24;8.51;0;8.51;25.53;25.53;102.13;0;0;221.28;0;0;0;0;76.6;8.51;0;42.56;0;340.43;102.13;0;25.53;0;0;0;0;0;0;0;51.06;0;612.77;0;0;0;42.56;0;0;0;0;655.32;0;0;25.53;0;173.62;173.62;1166.81;1796.6;8.51;0;0;0;0;229.79;655.32;51.07;8.51;68.09;0;0;0;93.62
1988-10-03;0;15.76;260.05;39.4;0;0;7.88;7.88;157.61;7.88;0;173.37;0;0;0;0;118.2;0;0;102.45;31.52;0;55.16;0;7.88;0;0;0;0;0;0;0;7.88;0;464.93;0;0;0;47.28;0;0;0;0;551.62;0;0;15.76;0;669.82;672.58;1034.28;594.17;7.88;0;0;0;0;315.21;882.59;181.25;0;47.28;0;0;0;31.52
1988-10-10;0;16.37;57.29;8.19;0;24.55;0;0;106.39;0;0;0;0;0;0;0;0;0;0;73.65;0;0;8.19;0;0;0;0;0;0;0;0;0;8.19;0;65.47;0;0;0;24.55;0;0;0;0;163.67;0;0;8.19;0;615.39;1021.28;358.43;1589.2;0;0;0;0;0;73.65;2471.36;57.29;40.92;40.92;0;0;0;49.1
1988-10-18;0;15.13;56.96;4;0;2.52;3.78;78.17;267.3;0;0;1.26;0;0;0;0;34.04;0;0;2.52;2.53;1.5;13.85;0;3.76;0;0;0;0;1.5;0;0;11.78;0;70.61;1.26;0;0;2.52;0;0;0;0;320.25;0;0;6.3;3.79;434.99;158.39;634.75;355.79;0;0;0;0;0;141.21;324.03;68.09;17.65;11.35;6.3;0;0;95.82
1988-10-24;0;8.18;68.08;25.87;0;4.08;1.36;9.53;21.78;0;0;0;0;0;0;0;4.08;1.36;0;5.45;2.72;1.36;13.62;0;14.98;0;0;0;0;0;0;0;12.25;0;98.04;0;0;0;78.98;0;0;0;0;230.12;0;0;0;0;156.6;457.03;2280.85;152.35;0;0;0;0;0;50.38;732.59;190.63;13.61;31.32;0;0;0;13.62
1988-10-31;0;1.31;41.24;7.85;0;0;0;52.37;66.78;0;0;0;0;0;0;0;81.83;1.31;1.31;1.31;0;0;0;0;6.54;0;0;0;0;0;0;0;6.54;0;61.54;0;0;0;18.32;0;0;0;0;73.32;0;0;0;1.31;508.18;152.62;1166.53;151.8;0;0;0;0;0;20.94;675.61;176.76;5.23;40.59;1.31;0;0;3.93
1988-11-07;0;4.08;47.66;4.08;0;17.7;0;12.26;25.87;0;0;0;0;0;0;0;70.81;6.81;0;0;0;0;0;0;5.45;0;0;0;0;0;0;0;2.72;0;55.83;0;0;0;10.9;0;0;0;0;62.64;0;0;14.98;2.72;84.68;0;2433.62;145.53;0;0;0;0;0;19.06;494.29;201.53;5.45;43.57;9.53;0;0;43.57
1988-11-14;0;32.68;47.66;8.17;0;1.36;0;9.53;19.06;0;0;1.36;0;0;0;0;204.25;5.44;1.36;0;0;0;0;0;4.09;0;0;0;0;0;0;0;4.08;0;61.28;0;0;0;20.42;0;0;0;0;29.95;0;0;34.04;1.36;37.02;0;1240.85;100.85;0;0;0;0;0;92.59;589.61;168.85;1.36;27.23;9.53;0;0;19.06
1988-11-21;0;8.51;17.02;8.51;0;4.26;0;0;17.02;0;0;0;0;0;0;0;89.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.28;0;0;0;8.51;0;0;0;0;12.77;0;0;4.26;0;260.43;71.07;971.07;144.26;0;0;0;0;0;136.17;493.62;144.68;0;42.55;0;0;0;8.51
1988-11-28;0;0;8.51;4.26;0;4.26;0;0;4.26;0;0;0;0;0;0;0;25.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.51;0;8.51;0;0;0;0;0;0;0;0;51.06;0;0;8.51;0;502.98;35.96;808.72;269.36;0;0;0;0;0;195.75;765.96;208.51;8.51;72.34;12.77;0;0;4.26
1988-12-05;0;0;69.47;17.37;0;26.06;0;17.37;17.37;0;0;0;0;0;0;0;34.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.06;0;0;0;0;0;0;0;0;8.69;0;0;0;0;19.98;73.39;211.46;51.24;0;0;0;0;0;130.27;547.11;121.58;0;0;0;0;0;8.69
1988-12-12;0;11.92;6.81;3.41;0;8.51;0;8.51;45.96;0;0;0;0;0;0;0;11.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.62;0;0;0;0;0;0;0;0;8.51;0;0;0;0;68.6;28.77;82.98;107.32;0;0;0;0;0;182.13;641.7;177.02;6.81;100.43;0;0;0;0
1988-12-19;0;0;11.92;0;0;3.41;0;8.51;68.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.32;0;0;0;0;0;0;0;0;25.53;0;0;6.81;0;159.92;171.75;110.9;49.36;0;0;0;0;0;134.47;697.88;114.05;0;98.73;0;0;0;0
1989-01-05;0;0;6.81;6.8;0;0;0;0;85.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.8;0;3.4;0;0;0;0;0;0;0;0;3.4;0;0;0;3.4;171.23;200.85;42.55;10.89;0;0;0;0;0;61.28;619.57;68.08;0;13.61;6.81;0;0;3.4
1989-01-09;0;0;17.02;0;0;4.26;0;8.51;80.86;0;0;0;0;0;0;0;8.51;0;0;12.77;0;0;0;0;4.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.26;0;0;0;0;62.13;37.45;78.3;43.4;0;0;0;0;0;102.13;161.7;51.06;0;21.28;0;0;0;17.02
1989-01-16;0;0;3.4;6.81;0;0;0;0;30.64;0;0;0;0;0;0;0;13.61;0;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;13.61;0;0;0;0;0;0;0;0;0;0;13.61;0;0;10.21;0;261.95;205.44;53.61;47.49;0;0;0;0;0;105.53;725.1;30.64;0;34.04;0;0;0;6.8
1989-01-23;0;0;0;6.81;0;3.41;0;0;43.11;0;0;0;0;0;0;0;6.81;0;0;3.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.81;0;0;0;0;0;0;0;0;6.81;0;0;6.81;0;35.26;56.66;36.53;47.85;0;0;0;0;0;38.69;243.69;31.88;0;17.03;0;0;0;3.41
